age,income
44.710284749683716,647630.4576708813
39.59038698552789,662198.4868450208
44.11558078644183,598072.6451792878
40.84227672100278,546442.0923299319
36.0474803692657,688569.0459375604
36.867803777067124,608118.1817267992
34.21603688712581,599083.5566621969
35.1067410146335,690482.5317300899
27.91240621025229,670553.3041370744
35.99417782158775,524477.1974053761
38.71178259494555,581559.6438265626
32.59677818116045,546316.9604496357
48.46204183392919,644499.172288691
38.85987926575021,517623.21339900827
39.10301715466431,576692.6284908975
37.45484209958788,580071.4857784284
41.461627190502206,650380.6894033249
41.57799172024411,643739.255186438
39.14401091950131,667349.0913653269
37.55197331676804,541747.7159289004
37.84148323357293,602799.3354863595
36.06449796864927,641296.1259840616
39.566443515582826,512296.4274491452
33.27541230826101,542483.4434689096
33.77314971274934,668941.9320212607
31.469829280861344,683109.6878453088
33.49018285434365,575204.6213696547
45.12325510016583,604909.5824722751
33.61951657480995,585639.0517586488
44.8199944510872,588369.1972175839
37.60427732742287,512397.9139034718
38.53419871712844,592928.3005025589
40.119633762936154,682261.1050073567
37.70785245164267,627205.697224888
42.54762585787736,574015.75315557
38.488691954259735,611705.5140841216
43.185761692923094,564001.7786786191
48.77264743944814,699893.9807276878
43.391571296135325,611747.7878767889
42.29705387858086,585882.5973083916
32.84122869120216,575866.0039663361
46.20774140676734,503496.35636512295
48.12825085809065,637538.4154619263
42.388042621444164,583475.6779822023
41.68585564309913,568176.6012141682
45.870074353367876,613991.844145041
41.244371538945664,586676.8495095556
41.262088381799614,689996.6289996565
45.09395019740168,560301.8915382574
43.40934291224301,706159.4097416362
49.36247150428365,615027.9996146025
37.87569083377377,649401.1354456736
29.90692206722841,629190.0894578329
40.320765377111364,549700.0926987275
43.60266186971475,631378.7032105211
35.65982970456586,581686.5348191713
40.036836254253515,453836.87563623756
40.466709200337284,581082.7978709567
41.554798320083066,630682.6311840486
38.82343197438099,690120.4151058006
43.533781597790465,622141.3237749424
35.79182229543768,623826.8839141508
35.47434149076854,591996.9624217747
46.38821597788669,498979.82805563
43.70283717519196,592405.5858086986
35.37189497707682,641832.4147536659
35.72715235918648,573198.7678023287
44.33580416631338,656832.7454637443
39.05175510952712,572825.0365958384
32.40963796212486,568300.7799509367
35.041274015326444,635214.6761618392
43.95696119691481,592233.8426854259
41.22349035269359,648027.7791841686
44.045605133271955,636739.2832515254
36.50740227964475,692324.0549444724
38.68604859312727,601125.439989316
38.810698858016984,622347.1854696105
39.55359270155075,559636.6292908939
36.04897927766986,507316.0363028641
38.024593007344926,648114.6286294921
46.24655381942202,660188.4681959975
46.1918231565835,454839.3633186418
40.41523257940334,674182.5085572139
44.06963941482682,452458.1647027092
38.55756671254373,611488.813368395
40.10547619284791,603870.045036665
37.59031529007406,625278.7069644966
45.09985706956956,618768.8625050781
45.23857802644354,513041.953474152
44.80670725213155,563381.4810880389
44.19488119964496,535733.2187277892
31.00728572495638,548511.4925434922
38.76845791815795,611091.5517326908
32.10379899537703,595442.8353579637
35.179319375700224,708651.2410876612
47.276073689857206,624539.2912553488
35.12090853055203,639394.9720024434
43.59410262948377,638603.6872036944
50.939902298670894,684466.7320426469
43.67962146630897,630711.6047009407
47.27902140661853,544130.0668915731
32.38296113037737,587561.3216524026
35.950875908441645,571063.966761534
39.477652769608405,600655.3528682604
48.3955645257557,558246.2759875066
40.53238758568464,633828.0714628772
37.98549132932017,625019.1266759059
35.39579253464326,616024.569541252
40.6163801272568,586715.2364867242
42.452529452474636,556006.0524032793
44.173282015416525,606890.7275202179
41.54305513792157,674096.557138621
42.300650106311366,641596.2232284825
42.32614596988179,607116.5836480922
43.16913698231698,563848.102157883
34.51613505393827,617406.9256933931
